"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MountSinaiNYC: Hospitals are taking some desperate measures to keep the #flu from spreading. Learn more: https://t.co/MlC4DLfwF3",FALSE,0,,2018-02-26 22:32:25,FALSE,,"968252438837972992",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Global_Minority",2,TRUE,FALSE,,
"RT @NFIDvaccines: #FluFact: You should still get a #flu shot, if you haven't yet. Vaccination is recommended as long as flu viruses are cir…",FALSE,0,,2018-02-26 22:31:23,FALSE,,"968252180154077184",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ImmunizeNV",3,TRUE,FALSE,,
"RT @NIAGo4Life: Is It the #flu or a cold? A cold is milder than the flu, but since the flu can make older people very sick, you should know…",FALSE,0,,2018-02-26 22:30:27,FALSE,,"968251946309169155",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","biomerieux_inc",10,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:30:21,FALSE,,"968251918706356225",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HCAWestFL",51,TRUE,FALSE,,
"Not sure if it’s a #cold or the #flu? These tips from the @CDCgov will help you self-diagnose.… https://t.co/w0dWDSLTpt",FALSE,0,,2018-02-26 22:28:46,TRUE,,"968251522063708160",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SoundHealthSer1",0,FALSE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:28:19,FALSE,,"968251408444284928",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HealthNrmc",51,TRUE,FALSE,,
"RT @SeniorOnline: How to help #seniors avoid the #flu: https://t.co/rdxPEBjAzo #Illness #Aging #FluShot #Medicare #Healthcare #Health #Baby…",FALSE,0,,2018-02-26 22:28:03,FALSE,,"968251340651671557",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ellastewartcare",1,TRUE,FALSE,,
"RT @KPbewelldoc: ☀️ #Flu is still trying to hang on!
If you get sick:
������If non-life threatening symptoms,
     seek virtual care so we don't…",FALSE,0,,2018-02-26 22:26:19,FALSE,,"968250905828188161",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaisyH29",7,TRUE,FALSE,,
"RT @cornellvet: Prof. Edward Dubovi says about #dog #flu that you should look for a modest fever and respiratory signs. ""A dog can't tell y…",FALSE,0,,2018-02-26 22:25:54,FALSE,,"968250800643432448",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPazderski",2,TRUE,FALSE,,
"VACCINE SCAN: FDA's next #fluvax steps; #Cholera #vaccine approved; #YellowFever vaccine reminder https://t.co/rxWww1IsRG #influenza #flu",FALSE,0,,2018-02-26 22:23:31,FALSE,,"968250198949580800",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CIDRAP",0,FALSE,FALSE,,
"RT @olivepress: Flu pandemic in #Spain leads to rising death toll https://t.co/7RiIcWpnQJ #Andalucia #Health #Lead #NationalNews #flu https…",FALSE,0,,2018-02-26 22:20:27,FALSE,,"968249429038841856",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwatchnews_eur",5,TRUE,FALSE,,
"The #flushot provides the best protection against the #flu. Visit https://t.co/xg7dTAIQyY to find pharmacies and other vaccine providers.",FALSE,1,,2018-02-26 22:20:10,FALSE,,"968249357693870080",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","VanIslandHealth",0,FALSE,FALSE,,
"RT @RealNaturalNews: #JoeiSmith was super #healthy when he got the #FluShot but he got the #flu anyway and lost his fingers and toes. https…",FALSE,0,,2018-02-26 22:19:12,FALSE,,"968249112524140545",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SierraNev2",4,TRUE,FALSE,,
"Higher performance standards help lower misdiagnoses with antigen-based #flu tests – https://t.co/nTfqP2lp4v  https://t.co/VLW4XSJFYb",FALSE,0,,2018-02-26 22:18:43,FALSE,,"968248993091334144",,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Pharma_Leaders",0,FALSE,FALSE,,
"RT @NFIDvaccines: #FluFact: You should still get a #flu shot, if you haven't yet. Vaccination is recommended as long as flu viruses are cir…",FALSE,0,,2018-02-26 22:17:29,FALSE,,"968248681030914048",,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","VaxResources",3,TRUE,FALSE,,
"RT @paulajradcliffe: I’m encouraging other people with #asthma to consider #flu vaccination this winter – it’s not too
late! #UnlikelyFluCr…",FALSE,0,,2018-02-26 22:15:39,FALSE,,"968248221704376320",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","christinageach",283,TRUE,FALSE,,
"RT @voiceBoksMedia: #Flu season is not over so you might want to make sure you’re fully equipped and ready to fight it off with #VitaminC #…",FALSE,0,,2018-02-26 22:15:02,FALSE,,"968248066200371200",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OurFamilyWorld",12,TRUE,FALSE,,
"RT @CDCgov: #Flu activity remains elevated across the United States. Remember these 3 steps to #fightflu: 

1⃣   Get yourself &amp; your family…",FALSE,0,,2018-02-26 22:13:08,FALSE,,"968247587127078914",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CDCFound",51,TRUE,FALSE,,
"RT @drkdhoffman: Could it be #flu?  #influenza https://t.co/hn8JqgU5E3 https://t.co/QlTHEvfRbB",FALSE,0,,2018-02-26 22:11:39,FALSE,,"968247215373340679",,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","MaleHealthDoc",3,TRUE,FALSE,,
"RT @SGottliebFDA: My statement on what #FDA is learning about the efficacy of this year’s #flu vaccine; and the agency’s ongoing efforts to…",FALSE,0,,2018-02-26 22:11:28,FALSE,,"968247165301772289",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zipjet",12,TRUE,FALSE,,
"Terra #Flu - Defensor do Olympique de Marselha critica Neymar: 'Procura faltas' https://t.co/NHAvylOpYb",FALSE,0,,2018-02-26 22:11:03,FALSE,,"968247062868516864",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Novatos aprendem a lidar com oscilações bruscas em moedas digitais https://t.co/roTWzCwHGt",FALSE,0,,2018-02-26 22:11:03,FALSE,,"968247061425598464",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Dodge pede ordem do STF para impedir novas falas de Segovia, sob pena de pedir… https://t.co/jy6HFPe6cj",FALSE,0,,2018-02-26 22:11:02,FALSE,,"968247059286511616",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
"Terra #Flu - Kieza conta que Fred o inspirou a ser artilheiro: 'Aprendi muito com ele' https://t.co/QQm8jmH7pM",FALSE,0,,2018-02-26 22:11:02,FALSE,,"968247057659121664",,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","jornaltricolor",0,FALSE,FALSE,,
