userLocations5_clean
"Kingston, Jamaica"
"Huntsville, Alabama"
"Reading, PA"
"Lafayette, IN"
"Nottingham, England"
Near Earth Orbit
"Fairfax, VA"
"NYC, Denver, San Francisco"
"Freehold, NJ"
Washington DC
"Paducah, KY"
Commie Hell - NYC Metro Area
"Miami, FL"
"Atlanta, GA"
Waiting for a number 49
"Portland, Maine"
"Manchester, CT 06040"
"ÜT: 41.268997,-96.12098"
PA
"New York, NY"
"Jerusalem, Israel"
"Berga (Barcelona), Catalunya"
"Beaver Dam, WI"
"Karachi, Pakistan."
"Houston, Texas"
"Atlanta, GA"
North Wales
"Patna, India"
Los Angeles
"Heath Hospital, Cardiff, Wales"
"Syracuse, NY"
Chicago
"Copenhagen, Denmark"
"Bethesda, MD"
Dunfermline
"Portland, Maine"
"Scotland, United Kingdom"
Wales
"Elmira, NY"
Wales
"North Carolina, USA"
"Washington, USA"
"Austin, Texas"
Česká republika
Newcastle - Italy
"Conroe, TX"
"Seattle, WA"
"Los Angeles, CA"
"Oswego, IL"
San Francisco Bay Area.
"Hollywood, FL"
Estepona. Málaga. España
"Washington, DC "
"Harrisburg, Pa."
"Russell Island, Queensland, Australia"
"Caracas, Venezuela"
ici et ailleurs
Undisclosed Location
"Seattle, WA"
"Boston, MA"
cleveland oh
Southern Maryland
"Washington, DC"
North America
http://bit.ly/1GDFXNk
"Yucaipa, CA"
"Miami, FL"
NorCal. Hella.
"Washington, DC"
"Washington, DC"
"Saint John, New Brunswick"
"West Warwick, Rhode Island"
"Burlington, VT"
"Blacksburg, Virginia"
Pacific Northwest
"Tulsa, OK"
"Lakewood, OH"
"Fort Worth, TX"
"New York, USA"
"Tucson, AZ"
"Charlotte, NC"
Colorado
"Dallas, Texas"
wishing I was in Scotland
"Bethesda, MD"
"Wyckoff, NJ"
"Chicago, IL"
"Minneapolis, MN"
"Liverpool, Sheffield, London"
"Indianapolis, IN"
"Leganés, España"
"Baltimore, MD"
"Nashua, NH"
"Budapest, Hungary"
"Lancaster, PA"
"Franklin, Tennessee"
Vilanova & la Geltrú
"Northampton, MA"
España
"Greensboro, NC"
Jessen (Elster)
"Deerfield, Ill."
mdcarr@cal.berkeley.edu
Wales
"Essen, Ruhrgebiet, Germany"
"Gas City, IN"
"Nashua, NH"
"Dallas, TX"
"Los Angeles, a motorcycle"
"Elizabeth, New Jersey"
Kentucky
"Carrollton, TX, US, 75010"
Arizona
Brooklyn
Pittsburgh
"Hershey, PA"
"Bay Pines, FL"
"Bethesda, MD"
"Western Australia, Australia"
NorthWoods
"Smith Station, AL"
"Springfield, Ohio"
"Hoffman Estates, IL"
"Killarney,   Ireland also Fleet Hampshire..started Twitter actively October  2017"
"New Orleans, Lousiana"
New Jersey
Minnesota / Iowa
"Corsham, England"
"OC, NC"
"Raleigh, NC"
"Raleigh, NC"
"Green Bay, Wisconsin"
"Research Triangle Area, NC"
Tennessee
New Jersey
right behind you
"Texas, USA"
"Butler, PA"
"New York, USA"
"Pune, India"
"Lake County, Illinois"
"Houston, TX"
"Massachusetts, USA"
New York
"Virginia, USA"
"Texas, USA"
"Denver, Colorado"
"Denver, CO"
"Dublin City, Ireland"
"Notre Dame, IN"
"Pennsylvania, USA"
"Raritan, New Jersey"
Honduras
Cheltenham
"New York, NY"
"Deerfield, IL"
"Troutman, NC Mooresville, NC"
Cardiff Met University
"Notre Dame, IN"
"Dunn and Fayetteville, NC"
Texas
"Fancy Prairie, IL"
"Arlington, WA"
Ohio
"Berkeley Heights, NJ"
"iPhone: 32.928517,-97.216814"
"Atlanta, GA"
"Athens County, Ohio"
"Atlanta, GA"
New Zealand
"kerala,India"
"128 Park Street, West Spfld."
"Bogotá, D.C., Colombia"
"243 Main St. Antigonish, NS"
"Austin, TX"
"Sarasota, FL"
"Brooklyn, NY"
"Silicon Valley,California "
"Dallas, TX"
Atlanta
"Washington, DC"
New York State
"Farmington, NM"
"Crooked Path, NY"
Southeastern Pennsylvania
"Wales, United Kingdom"
Fairfield Hospital/ Royal Oldham Hospital/North Manchester General Hospital/Rochdale Infirmary
Kuwait
"Vantaa, Finland"
JAPAN
"Clifton Park, NY"
London GB
"Greater Manchester, England"
"Pennsylvania, USA"
"Amsterdam, The Netherlands"
"Marietta, GA"
Tennessee
120 countries around the globe
Kingdom of Saudi Arabia
"Dublin, Ireland"
"Chicago, IL"
Botshabelo in Free State
"Washington, DC, USA"
"Trinity, Florida"
"Pittsburgh, PA"
Pittsburgh
Pittsburgh
"Washington, USA"
"Cambridge, England"
manchester
Cymru
NYC
Ireland /UK/LA
"Cheshire, United Kingdom"
"Vero Beach, FL, FL, USA"
"Belfast, Northern Ireland"
upstate new york
Belgium
"Amsterdam, The Netherlands"
Bulgaria
"California, USA"
"Washington, DC"
Asia
"Falkirk, Scotland"
"North West, England"
"Rio de Janeiro, Brazil"
"Accrington, Lancashire, UK"
Lincoln
"Warwick, England"
Florida
"Milton Keynes, England"
Ilford essex
"Huntersville, NC"
"Sloane Square, London, SW1"
Scandinavia
"Karachi, Sindh, Pakistan."
"Denver, CO"
HI xx AK
London
"Vale of York, UK"
"Hamburg, Germany"
Hunan
Manchester
Bournemouth
"Vancouver, B.C,"
"Томск, Россия"
"Portsmouth, Dominica"
"Changsha city,Hunan, China"
Las Vegas
"Santa Barbara, CA"
"Dallas, TX"
"Co. Kerry, Ireland."
Nederland
"Arizona, USA"
"Nebraska, USA"
Ohio River Valley
Mumbai
भारत
"Bandung, Jawa Barat"
Davao City
"Castro Valley, CA"
Ahmedabad
Venezuela
"Montana, Out Here, USA, Earth"
"Houston, TX"
Southern California
"NoVA, USA"
"Pa, Fla"
"New Mexico, USA"
New York City
The Bronx
"Pittsburgh, PA"
"10 locations in MA, NH and ME"
Riyadh-Madinah
"san diego, ca"
"Washington, USA"
"OBX, USA"
"Arizona, USA"
San Francisco
"San Mateo, CA"
New York
Windsor Ontario
Texas
"Brisbane, Queensland"
"Louisa, KY"
"Manhattan, NY"
"Springfield, #OscarPerez"
"Cleveland, TN"
"Anytown, NJ"
Never Never Land
"Newark, NJ"
Gab.ai/@Marymac41
"San Diego, CA"
Mumbai
Dammam
Eden
"Raleigh, NC"
The West
Bell
"Pittsburgh, PA"
"Sedona, AZ"
Big Canoe ~ North Georgia Mountains
iPhone: 908-619-3171
"New Mexico, USA"
"New York, USA"
"Fairbury, NE"
"Kentucky, USA"
"San Mateo, CA"
"Pinal County, Arizona"
Boston area
"St Paul, MN 55123"
"Perth, Western Australia"
"Antioch, CA"
New Hampshire
East Coast to West Coast
"Salinas, California"
"Jammu,J&K (India)"
"Dallas, Texas"
"Pittsburgh, PA"
Los Angeles-NYC-London and Skype
"New Jersey, USA"
"East Orange, NJ "
"Washington, D.C."
New York City
"North Brunswick, NJ"
"Washington, USA"
"Denver, CO"
The Other Side of Your Screen
Dallas Texas
"Lucama, NC"
"Santa Monica, CA"
Mid-US
"Montrose, NY"
PHILA / NY
West Georgia - East Alabama
