"usStatelocation","Freq"
"alabama",16
"arizona",79
"arkansas",16
"california",341
"colorado",49
"connecticut",40
"delaware",10
"district of columbia",123
"florida",149
"georgia",112
"idaho",12
"illinois",108
"indiana",52
"iowa",15
"kansas",91
"kentucky",39
"louisiana",17
"maine",15
"maryland",101
"massachusetts",124
"michigan",62
"minnesota",50
"mississippi",8
"missouri",67
"montana",17
"nebraska",16
"nevada",47
"new hampshire",11
"new jersey",86
"new mexico",12
"new york",152
"north carolina",103
"north dakota",4
"ohio",78
"oklahoma",55
"oregon",26
"pennsylvania",166
"rhode island",23
"south carolina",29
"south dakota",1
"tennessee",52
"texas",324
"utah",36
"vermont",15
"virginia",89
"washington",45
"west virginia",8
"wisconsin",51
"wyoming",1
